2.00000000e-05,4.45240155e+00,2.00000000e-05.1,-3.04980398e-01,2.00000000e-05.2,3.03572143e-01,2.00000000e-05.3,2.58053978e+00
2.00000619e-05,4.45176363,2.00000619e-05,-0.303531935,2.00000619e-05,0.303528649,2.00000619e-05,2.58053979
2.00001857e-05,4.45168325,2.00001857e-05,-0.303520226,2.00001857e-05,0.303523168,2.00001857e-05,2.58053979
2.00004334e-05,4.4517549,2.00004334e-05,-0.303536182,2.00004334e-05,0.303528053,2.00004334e-05,2.58053979
2.00007299e-05,4.45170462,2.00007299e-05,-0.303623224,2.00007299e-05,0.303524625,2.00007299e-05,2.58053979
2.0000925e-05,4.45183723,2.0000925e-05,-0.303515132,2.0000925e-05,0.303533667,2.0000925e-05,2.58053979
2.0001e-05,4.45177065,2.0001e-05,-0.303593897,2.0001e-05,0.303529127,2.0001e-05,2.58053979
2.0001018e-05,4.45180322,2.0001018e-05,-0.303531074,2.0001018e-05,0.303531348,2.0001018e-05,2.58053979
2.00010541e-05,4.45184053,2.00010541e-05,-0.303430946,2.00010541e-05,0.303533892,2.00010541e-05,2.58053979
2.00011261e-05,4.45182266,2.00011261e-05,-0.303449697,2.00011261e-05,0.303532673,2.00011261e-05,2.58053979
2.00012659e-05,4.45176299,2.00012659e-05,-0.303550479,2.00012659e-05,0.303528605,2.00012659e-05,2.58053979
2.00014485e-05,4.4517723,2.00014485e-05,-0.30351128,2.00014485e-05,0.30352924,2.00014485e-05,2.58053979
2.00016863e-05,4.45170962,2.00016863e-05,-0.300851323,2.00016863e-05,0.303524966,2.00016863e-05,2.58053979
2.00019308e-05,4.44878696,2.00019308e-05,-0.287696278,2.00019308e-05,0.303325694,2.00019308e-05,2.58053977
2.00022124e-05,4.38225963,2.00022124e-05,-0.196069465,2.00022124e-05,0.298789751,2.00022124e-05,2.58053932
2.00024372e-05,2.92715962,2.00024372e-05,-0.00204632459,2.00024372e-05,0.199578611,2.00024372e-05,2.5805296
2.00025917e-05,1.70593529,2.00025917e-05,0.00665781252,2.00025917e-05,0.116313505,2.00025917e-05,2.58051542
2.00027235e-05,1.49835583,2.00027235e-05,-0.00041346178,2.00027235e-05,0.102160393,2.00027235e-05,2.58049289
2.0002865e-05,1.49560363,2.0002865e-05,0.00115023186,2.0002865e-05,0.101972743,2.0002865e-05,2.58046005
2.0003002e-05,1.51489642,2.0003002e-05,-0.00131317314,2.0003002e-05,0.103288157,2.0003002e-05,2.58042904
2.0003163e-05,1.49894101,2.0003163e-05,0.00141677015,2.0003163e-05,0.102200291,2.0003163e-05,2.5803923
2.00034851e-05,1.51126065,2.00034851e-05,-0.0014628664,2.00034851e-05,0.103040265,2.00034851e-05,2.58031905
2.00039965e-05,1.50035332,2.00039965e-05,0.00148885217,2.00039965e-05,0.102296585,2.00039965e-05,2.58020258
2.00049299e-05,1.50995262,2.00049299e-05,-0.00150378403,2.00049299e-05,0.102951081,2.00049299e-05,2.57999021
2.00059299e-05,1.50042157,2.00059299e-05,0.001516037,2.00059299e-05,0.102301238,2.00059299e-05,2.57976261
2.00069299e-05,1.50892581,2.00069299e-05,-0.00152940533,2.00069299e-05,0.102881072,2.00069299e-05,2.57953515
2.00079299e-05,1.50039382,2.00079299e-05,0.00154104629,2.00079299e-05,0.102299346,2.00079299e-05,2.57930764
2.00089299e-05,1.50792444,2.00089299e-05,-0.00155387974,2.00089299e-05,0.102812796,2.00089299e-05,2.57908026
2.00099299e-05,1.50031795,2.00099299e-05,0.0015650069,2.00099299e-05,0.102294173,2.00099299e-05,2.57885283
2.00109299e-05,1.50696816,2.00109299e-05,-0.00157734645,2.00109299e-05,0.102747596,2.00109299e-05,2.57862553
2.00119299e-05,1.50019868,2.00119299e-05,0.00158800036,2.00119299e-05,0.102286041,2.00119299e-05,2.57839818
2.00129299e-05,1.50605336,2.00129299e-05,-0.00159988426,2.00129299e-05,0.102685223,2.00129299e-05,2.57817095
2.00139299e-05,1.50003971,2.00139299e-05,0.0016101008,2.00139299e-05,0.102275202,2.00139299e-05,2.57794369
2.00149299e-05,1.50517641,2.00149299e-05,-0.00162156304,2.00149299e-05,0.102625431,2.00149299e-05,2.57771654
2.00159299e-05,1.4998446,2.00159299e-05,0.00163137448,2.00159299e-05,0.102261899,2.00159299e-05,2.57748936
2.00169299e-05,1.50433392,2.00169299e-05,-0.00164244553,2.00169299e-05,0.102567989,2.00169299e-05,2.57726228
2.00179299e-05,1.49961667,2.00179299e-05,0.00165188088,2.00179299e-05,0.102246359,2.00179299e-05,2.57703519
2.00189299e-05,1.5035227,2.00189299e-05,-0.00166258844,2.00189299e-05,0.102512679,2.00189299e-05,2.57680819
2.00199299e-05,1.499359,2.00199299e-05,0.00167167385,2.00199299e-05,0.102228791,2.00199299e-05,2.57658118
2.002e-05,1.50178412,2.002e-05,-0.00179752214,2.002e-05,0.102394139,2.002e-05,2.57656529
2.00200126e-05,1.50174587,2.00200126e-05,0.000123628482,2.00200126e-05,0.102391531,2.00200126e-05,2.57656244
2.00200377e-05,1.50126278,2.00200377e-05,-8.36353716e-05,2.00200377e-05,0.102358594,2.00200377e-05,2.57655673
2.00200879e-05,1.50113549,2.00200879e-05,7.13660545e-05,2.00200879e-05,0.102349915,2.00200879e-05,2.57654533
